"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-05 19:20:00,19,2021-01-06 01:20:00,"wind_pen_actual",NA
2021-01-05 19:15:00,19,2021-01-06 01:15:00,"wind_pen_actual",NA
2021-01-05 19:10:00,19,2021-01-06 01:10:00,"wind_pen_actual",NA
2021-01-05 19:05:00,19,2021-01-06 01:05:00,"wind_pen_actual",NA
2021-01-05 19:00:00,19,2021-01-06 01:00:00,"wind_pen_actual",NA
2021-01-05 18:55:00,18,2021-01-06 00:55:00,"wind_pen_actual",NA
2021-01-05 18:50:00,18,2021-01-06 00:50:00,"wind_pen_actual",NA
2021-01-05 18:45:00,18,2021-01-06 00:45:00,"wind_pen_actual",NA
2021-01-05 18:40:00,18,2021-01-06 00:40:00,"wind_pen_actual",NA
2021-01-05 18:35:00,18,2021-01-06 00:35:00,"wind_pen_actual",NA
2021-01-05 18:30:00,18,2021-01-06 00:30:00,"wind_pen_actual",NA
2021-01-05 18:25:00,18,2021-01-06 00:25:00,"wind_pen_actual",NA
2021-01-05 18:20:00,18,2021-01-06 00:20:00,"wind_pen_actual",NA
2021-01-05 18:15:00,18,2021-01-06 00:15:00,"wind_pen_actual",NA
2021-01-05 18:10:00,18,2021-01-06 00:10:00,"wind_pen_actual",NA
2021-01-05 18:05:00,18,2021-01-06 00:05:00,"wind_pen_actual",NA
2021-01-05 18:00:00,18,2021-01-06 00:00:00,"wind_pen_actual",NA
2021-01-05 17:55:00,17,2021-01-05 23:55:00,"wind_pen_actual",NA
2021-01-05 17:50:00,17,2021-01-05 23:50:00,"wind_pen_actual",NA
2021-01-05 17:45:00,17,2021-01-05 23:45:00,"wind_pen_actual",NA
2021-01-05 17:40:00,17,2021-01-05 23:40:00,"wind_pen_actual",NA
2021-01-05 17:35:00,17,2021-01-05 23:35:00,"wind_pen_actual",NA
2021-01-05 17:30:00,17,2021-01-05 23:30:00,"wind_pen_actual",NA
2021-01-05 17:25:00,17,2021-01-05 23:25:00,"wind_pen_actual",NA
2021-01-05 17:20:00,17,2021-01-05 23:20:00,"wind_pen_actual",NA
2021-01-05 17:15:00,17,2021-01-05 23:15:00,"wind_pen_actual",NA
2021-01-05 17:10:00,17,2021-01-05 23:10:00,"wind_pen_actual",NA
2021-01-05 17:05:00,17,2021-01-05 23:05:00,"wind_pen_actual",NA
2021-01-05 17:00:00,17,2021-01-05 23:00:00,"wind_pen_actual",NA
2021-01-05 16:55:00,16,2021-01-05 22:55:00,"wind_pen_actual",NA
2021-01-05 16:50:00,16,2021-01-05 22:50:00,"wind_pen_actual",NA
2021-01-05 16:45:00,16,2021-01-05 22:45:00,"wind_pen_actual",NA
2021-01-05 16:40:00,16,2021-01-05 22:40:00,"wind_pen_actual",NA
2021-01-05 16:35:00,16,2021-01-05 22:35:00,"wind_pen_actual",NA
2021-01-05 16:30:00,16,2021-01-05 22:30:00,"wind_pen_actual",NA
2021-01-05 16:25:00,16,2021-01-05 22:25:00,"wind_pen_actual",NA
2021-01-05 16:20:00,16,2021-01-05 22:20:00,"wind_pen_actual",NA
2021-01-05 16:15:00,16,2021-01-05 22:15:00,"wind_pen_actual",NA
