"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-29 21:30:00,21,"12/30/2020 03:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:25:00,21,"12/30/2020 03:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:20:00,21,"12/30/2020 03:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:15:00,21,"12/30/2020 03:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:10:00,21,"12/30/2020 03:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:05:00,21,"12/30/2020 03:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:00:00,21,"12/30/2020 03:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:55:00,20,"12/30/2020 02:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:50:00,20,"12/30/2020 02:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:45:00,20,"12/30/2020 02:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:40:00,20,"12/30/2020 02:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:35:00,20,"12/30/2020 02:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:30:00,20,"12/30/2020 02:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:25:00,20,"12/30/2020 02:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:20:00,20,"12/30/2020 02:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:15:00,20,"12/30/2020 02:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:10:00,20,"12/30/2020 02:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:05:00,20,"12/30/2020 02:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 20:00:00,20,"12/30/2020 02:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:55:00,19,"12/30/2020 01:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:50:00,19,"12/30/2020 01:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:45:00,19,"12/30/2020 01:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:40:00,19,"12/30/2020 01:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:35:00,19,"12/30/2020 01:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:30:00,19,"12/30/2020 01:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:25:00,19,"12/30/2020 01:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:20:00,19,"12/30/2020 01:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:15:00,19,"12/30/2020 01:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:10:00,19,"12/30/2020 01:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:05:00,19,"12/30/2020 01:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 19:00:00,19,"12/30/2020 01:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:55:00,18,"12/30/2020 00:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:50:00,18,"12/30/2020 00:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:45:00,18,"12/30/2020 00:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:40:00,18,"12/30/2020 00:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:35:00,18,"12/30/2020 00:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:30:00,18,"12/30/2020 00:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 18:25:00,18,"12/30/2020 00:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
